1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.474318	0.000000	478.951973	0.012570	8580.8
1	-0.496708	0.000000	478.951973	0.011656	12.2
2	-0.476647	1.000000	457.181434	0.011168	9.1
3	-0.463198	0.322569	471.706372	0.011831	11.2
4	-0.425243	0.000000	478.951973	0.011893	9.5
5	-0.466525	0.000000	478.951973	0.011935	11.5
6	-0.471177	0.000000	478.951973	0.012613	9.5
7	-0.518980	0.999883	457.183855	0.011992	10.8
8	-0.464222	1.798366	441.171597	0.012640	8.9
9	-0.486463	1.250725	452.029828	0.012209	11.8
10	-0.483163	2.090133	435.596955	0.012991	9.2
11	-0.512579	1.121326	454.673988	0.013192	10.7
12	-0.476548	0.143072	475.710967	0.012618	11.2
13	-0.467643	0.000000	478.951973	0.012566	9.4
14	-0.483967	1.000000	457.181429	0.013094	11.3
15	-0.483956	0.022238	478.445315	0.012491	9.3
16	-0.493557	0.000000	478.951973	0.013609	11.8
17	-0.489940	1.000000	457.181429	0.012145	9.2
18	-0.478280	0.021747	478.456506	0.012188	10.7
19	-0.470535	1.021726	456.730387	0.011392	9.7
20	-0.478260	1.224704	452.559082	0.011714	11.4
21	-0.456814	0.246459	473.396138	0.012573	9.1
22	-0.519000	1.071367	455.703143	0.012373	11.3
23	-0.500524	0.093378	476.831705	0.012425	9.4
24	-0.476020	0.000000	478.951973	0.012955	11.6
25	-0.448040	0.999998	457.181470	0.011274	9.4
26	-0.493113	0.022148	478.447369	0.012272	11.2
27	-0.499554	0.000000	478.951973	0.011796	8.8
28	-0.496995	0.000000	478.951973	0.011754	11.6
29	-0.455718	0.999628	457.189156	0.012178	9.2
30	-0.444299	1.999628	437.311045	0.011952	11.6
31	-0.437330	1.022464	456.715078	0.012340	11.5
32	-0.484556	0.591922	465.821955	0.011926	9.4
33	-0.484714	0.000000	478.951973	0.012158	11.4
34	-0.477362	0.981820	457.559543	0.011947	9.4
35	-0.459557	0.055115	477.698243	0.012786	11.2
36	-0.491665	0.000000	478.951973	0.012976	9.0
37	-0.463631	1.000000	457.181429	0.011326	11.5
38	-0.486065	0.023318	478.420740	0.012774	9.9
39	-0.457958	0.000000	478.951973	0.012135	12.2
40	-0.475013	0.000000	478.951973	0.012137	9.1
41	-0.473346	0.927834	458.686034	0.011737	11.3
42	-0.465932	0.000000	478.951973	0.011407	9.8
43	-0.500671	0.000000	478.951973	0.013357	11.2
44	-0.492575	0.984142	457.511213	0.013047	9.4
45	-0.473921	1.984141	437.605710	0.011982	11.2
46	-0.457420	2.983594	419.369658	0.011815	9.9
47	-0.473744	3.983402	402.586939	0.012730	10.8
48	-0.494536	4.958158	387.469388	0.013110	12.2
49	-0.446282	3.979904	402.643315	0.012295	9.0
50	-0.463465	4.979904	387.145055	0.012144	12.1
51	-0.474842	4.007852	402.193334	0.012421	9.7
52	-0.501928	5.007852	386.729030	0.012427	11.5
53	-0.480901	4.029599	401.843888	0.013170	10.4
54	-0.510829	4.995439	386.913697	0.012374	11.3
55	-0.474652	5.994202	372.598217	0.012908	9.4
56	-0.479159	6.953712	359.808790	0.012828	11.5
57	-0.495462	5.976051	372.848917	0.012444	10.2
58	-0.442979	4.997804	386.878507	0.012413	10.0
59	-0.478942	4.019550	402.005285	0.013266	10.4
60	-0.457597	5.019550	386.555163	0.011904	10.0
61	-0.469977	4.042475	401.637268	0.012011	10.0
