1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.696085	0.000000	1729.600350	0.003927	1985.0
1	-0.693006	0.000000	1729.600350	0.003484	9.1
2	-0.723929	0.000000	1729.600350	0.003536	8.5
3	-0.702459	0.000000	1729.600350	0.003907	10.0
4	-0.744597	0.000000	1729.600350	0.003906	8.1
5	-0.738238	0.000000	1729.600350	0.003933	10.0
6	-0.762121	0.000000	1729.600350	0.003549	8.2
7	-0.772706	0.000000	1729.600350	0.003339	10.5
8	-0.733309	0.000000	1729.600350	0.003070	7.8
9	-0.763388	0.000000	1729.600350	0.003065	9.4
10	-0.766338	0.000000	1729.600350	0.003734	8.4
11	-0.765758	0.999374	1651.029154	0.003251	9.2
12	-0.813386	1.999333	1579.246131	0.003005	9.0
13	-0.811134	1.445656	1618.202118	0.002864	8.0
14	-0.746170	0.896985	1658.749250	0.003119	10.7
15	-0.796459	0.425064	1695.285801	0.003165	8.3
16	-0.764973	0.000000	1729.600350	0.003665	10.0
17	-0.778289	0.000000	1729.600350	0.002832	8.0
18	-0.754900	0.000000	1729.600350	0.003488	10.4
19	-0.806395	0.999329	1651.032530	0.003139	7.9
20	-0.811389	1.999329	1579.246415	0.003325	10.5
21	-0.792128	1.445651	1618.202415	0.003135	7.8
22	-0.820720	0.892033	1659.124444	0.003631	9.9
23	-0.778608	1.892033	1586.648382	0.004002	8.2
24	-0.802018	2.880904	1520.947725	0.003355	10.1
25	-0.800641	3.800061	1464.577332	0.003709	8.5
26	-0.759105	3.246384	1498.021625	0.003287	8.4
27	-0.812011	4.246384	1438.685547	0.003321	9.9
28	-0.814300	3.727991	1468.845862	0.003259	7.9
29	-0.822232	4.634586	1416.898553	0.003205	10.9
30	-0.804139	5.625296	1364.176643	0.003275	8.3
31	-0.837420	5.278323	1382.188919	0.003544	10.1
32	-0.770300	4.724657	1411.937459	0.003426	7.7
33	-0.811586	5.627720	1364.052464	0.003225	10.5
34	-0.780045	6.627720	1314.679867	0.003428	8.1
35	-0.820299	6.094755	1340.540174	0.002924	10.6
36	-0.849103	5.541196	1368.499265	0.003479	12.1
37	-0.815680	5.052850	1394.151000	0.002923	9.5
38	-0.829501	4.499176	1424.422802	0.003550	7.8
39	-0.838797	3.945528	1456.036797	0.002988	10.6
40	-0.800963	4.900544	1402.349198	0.003427	7.7
41	-0.799098	5.889538	1350.770991	0.003275	10.5
42	-0.802132	6.889538	1302.338098	0.003493	7.8
43	-0.822242	7.888542	1257.301487	0.003251	8.8
44	-0.809278	8.634278	1225.661980	0.003362	9.1
45	-0.782593	9.529066	1189.738558	0.003483	8.0
46	-0.797669	10.529066	1152.003899	0.003323	10.1
47	-0.824096	11.529066	1116.589299	0.003608	8.1
48	-0.852110	10.976327	1135.890547	0.003520	10.1
49	-0.839019	11.976327	1101.444911	0.003508	7.9
50	-0.819991	12.974710	1069.077780	0.003470	9.5
51	-0.818066	13.974710	1038.510613	0.003042	9.3
52	-0.831200	13.421267	1055.208319	0.002955	11.8
53	-0.813870	12.867595	1072.458996	0.003214	8.0
54	-0.838278	12.313927	1090.282978	0.003301	10.7
55	-0.843191	11.763024	1108.615828	0.003412	9.0
56	-0.799046	12.762900	1075.784592	0.003825	10.9
57	-0.805872	13.358769	1057.127715	0.003027	9.2
58	-0.809664	14.358769	1027.230529	0.003565	9.6
59	-0.794132	13.943057	1039.451334	0.003171	8.6
60	-0.811263	14.943057	1010.531943	0.002811	9.7
61	-0.823442	15.421802	997.249038	0.003282	8.6
62	-0.840366	14.868126	1012.643026	0.003299	9.5
63	-0.820464	15.744906	988.480078	0.003733	8.7
64	-0.811126	16.241599	975.296656	0.003237	8.6
65	-0.794209	17.241599	949.793105	0.003126	9.5
66	-0.859162	18.241501	925.591694	0.003291	8.2
67	-0.816147	17.690931	938.762817	0.003248	10.1
68	-0.809502	18.688864	915.158647	0.004066	8.3
69	-0.818459	19.688864	892.667022	0.003303	10.2
70	-0.885702	19.135187	904.981639	0.003274	7.9
71	-0.847344	18.617070	916.817103	0.003515	9.7
72	-0.864508	18.063967	929.798241	0.003244	8.4
73	-0.826676	17.518860	942.956445	0.003546	10.1
74	-0.837041	16.965381	956.703344	0.003969	8.3
75	-0.834783	17.965380	932.150721	0.003965	9.7
76	-0.867043	17.411703	945.587007	0.003139	8.5
77	-0.844262	17.137893	952.375825	0.003367	8.1
78	-0.841405	16.620925	965.462896	0.003606	10.3
79	-0.851784	17.620925	940.464456	0.003260	8.0
80	-0.848069	18.620903	916.728397	0.003359	10.1
81	-0.847942	19.620903	894.160499	0.003672	7.7
82	-0.854040	19.130494	905.087472	0.003261	10.3
83	-0.852370	20.130005	883.092704	0.003260	8.1
84	-0.834407	19.576328	895.142792	0.003550	10.2
85	-0.828403	20.576328	873.612685	0.002785	7.9
86	-0.849629	21.570482	853.211098	0.002977	9.1
87	-0.837417	21.016930	864.451712	0.003258	8.8
88	-0.823872	20.573119	873.680108	0.003269	8.7
89	-0.890152	21.218933	860.315621	0.003443	10.5
