1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.197636	0.000000	5.179885	0.007042	339.9
1	-0.175122	0.000000	5.179885	0.007512	5.4
2	-0.213092	0.767249	4.997306	0.015380	3.6
3	-0.188060	0.000000	5.179885	0.003776	3.3
4	-0.235871	0.523850	5.053817	0.010572	3.4
5	-0.212011	1.230709	4.893123	0.003936	3.4
6	-0.179590	0.262919	5.115835	0.009005	3.4
7	-0.184529	1.090241	4.924238	0.006698	4.5
8	-0.210359	0.296328	5.107810	0.002844	4.2
9	-0.193536	0.000000	5.179885	0.007903	3.4
10	-0.204756	0.000000	5.179885	0.004376	3.3
11	-0.188274	0.939593	4.958050	0.005270	4.3
12	-0.193437	1.844905	4.761569	0.003835	4.4
13	-0.192882	1.685297	4.795070	0.017929	3.5
14	-0.213609	0.719140	5.008375	0.011207	3.4
15	-0.188094	1.719140	4.787927	0.010377	3.6
16	-0.213114	0.776672	4.995143	0.007479	4.5
17	-0.197332	0.000000	5.179885	0.014383	3.8
18	-0.180109	1.000000	4.944436	0.006595	3.2
19	-0.168994	1.999994	4.729462	0.005201	3.4
20	-0.211566	2.946990	4.542433	0.005103	3.4
21	-0.206321	2.121465	4.704615	0.010220	4.6
22	-0.185862	1.152537	4.910390	0.012526	4.4
23	-0.186427	0.181004	5.135620	0.009083	3.4
24	-0.199545	1.181003	4.904088	0.009637	3.4
25	-0.216854	0.213090	5.127852	0.004963	3.3
26	-0.165765	0.000000	5.179885	0.013424	3.2
27	-0.204747	0.983947	4.948047	0.005715	3.8
28	-0.186820	0.083814	5.159294	0.002635	4.3
29	-0.204872	0.601954	5.035544	0.004376	3.5
30	-0.189405	0.989669	4.946759	0.007955	3.3
31	-0.197868	0.370281	5.090134	0.011643	3.5
32	-0.215479	0.000000	5.179885	0.009810	3.3
33	-0.194823	0.000000	5.179885	0.006399	4.5
34	-0.202284	0.624692	5.030249	0.012120	4.0
35	-0.209373	1.624637	4.807927	0.017309	3.4
36	-0.214818	0.670421	5.019635	0.005227	3.4
37	-0.186259	0.000000	5.179885	0.007384	4.0
38	-0.208671	0.000000	5.179885	0.003967	4.7
39	-0.197678	0.372347	5.089642	0.009749	3.4
40	-0.200454	0.000000	5.179885	0.008850	3.4
41	-0.197967	0.000000	5.179885	0.008998	3.4
42	-0.188042	0.995950	4.945346	0.005486	3.3
43	-0.196757	0.026182	5.173435	0.008706	4.3
44	-0.219688	0.000000	5.179885	0.005113	3.7
45	-0.192522	0.000000	5.179885	0.004834	3.4
46	-0.204943	0.000000	5.179885	0.007598	3.4
47	-0.202960	0.000000	5.179885	0.007407	7.4
48	-0.204804	0.861322	4.975801	0.013516	5.1
49	-0.188361	0.000000	5.179885	0.002574	4.3
50	-0.189640	0.657223	5.022693	0.007178	3.8
51	-0.191557	0.254520	5.117857	0.002629	4.2
52	-0.208865	0.000000	5.179885	0.005057	4.3
53	-0.200219	0.547893	5.048178	0.007740	3.5
54	-0.200859	1.000538	4.944315	0.016028	3.4
55	-0.214810	2.000537	4.729350	0.011000	3.4
56	-0.183208	3.000427	4.532319	0.017284	3.4
57	-0.202510	2.675633	4.594496	0.009600	4.7
58	-0.184928	1.711805	4.789474	0.008958	3.8
59	-0.204250	0.740189	5.003526	0.012054	3.5
60	-0.187758	1.740189	4.783496	0.011546	3.6
61	-0.190444	2.740189	4.582002	0.004802	4.8
62	-0.211945	3.737798	4.397222	0.009753	3.5
63	-0.186123	3.426742	4.453218	0.008727	3.4
64	-0.204283	4.369049	4.287807	0.012729	3.4
65	-0.201220	5.044438	4.176615	0.012457	3.7
66	-0.206461	4.072806	4.338469	0.011507	4.4
67	-0.180733	5.042731	4.176889	0.007790	3.9
68	-0.190203	4.078897	4.337415	0.011110	3.4
69	-0.182918	5.078892	4.171097	0.009905	3.7
70	-0.185259	6.078300	4.017150	0.005814	3.2
71	-0.202120	7.077675	3.874167	0.004780	4.3
72	-0.208168	7.978185	3.753775	0.008996	3.8
73	-0.202289	7.215148	3.855291	0.010506	3.3
74	-0.201031	6.247027	3.992274	0.007125	3.4
75	-0.200947	7.221531	3.854419	0.002826	3.3
76	-0.202509	8.029596	3.747127	0.005989	3.2
77	-0.221921	8.201397	3.725082	0.017366	3.6
78	-0.187699	9.201396	3.601741	0.014048	4.5
79	-0.202502	10.201396	3.486305	0.011697	3.9
80	-0.212634	11.201396	3.378040	0.007031	3.4
81	-0.206721	12.199467	3.276486	0.014392	3.4
82	-0.181752	13.194561	3.181137	0.010675	3.6
83	-0.186538	12.222957	3.274170	0.006063	4.4
84	-0.199964	11.262419	3.371650	0.014667	3.6
85	-0.196091	12.260597	3.270464	0.003979	3.3
86	-0.208519	12.924097	3.206499	0.004983	3.3
87	-0.211432	12.118433	3.284503	0.013081	4.6
88	-0.208495	11.451716	3.351983	0.005834	4.6
89	-0.208417	10.480535	3.455392	0.006814	3.5
90	-0.177750	11.448414	3.352324	0.009506	3.3
91	-0.211373	10.477516	3.455724	0.012808	4.3
92	-0.202932	11.477511	3.349320	0.011309	4.0
93	-0.178364	11.998776	3.296413	0.005631	3.3
94	-0.218231	11.128644	3.385689	0.008887	3.2
95	-0.197089	12.121378	3.284211	0.005127	3.4
96	-0.205580	11.202910	3.377881	0.008091	3.6
97	-0.187403	12.124867	3.283865	0.010458	4.3
98	-0.205833	13.124690	3.187651	0.009291	3.8
99	-0.192562	14.113152	3.097916	0.004104	3.6
100	-0.186814	15.097622	3.013428	0.003313	3.4
101	-0.210812	14.901968	3.029850	0.005064	3.4
102	-0.207670	15.608270	2.971394	0.013491	4.5
103	-0.199294	16.608174	2.892392	0.003842	4.0
104	-0.222646	17.606067	2.817630	0.017835	3.3
105	-0.211643	16.637390	2.890147	0.004879	3.3
106	-0.221191	17.634649	2.815545	0.006533	3.2
107	-0.188223	16.694125	2.885797	0.008398	4.2
108	-0.192502	17.550191	2.821714	0.015187	4.3
109	-0.196233	18.541663	2.750962	0.005406	3.4
110	-0.203355	19.418775	2.691264	0.001626	3.4
111	-0.206323	18.942568	2.723350	0.009743	3.3
112	-0.196284	18.940401	2.723498	0.005622	3.5
113	-0.210717	19.865280	2.661859	0.005581	4.5
114	-0.194896	20.819060	2.601149	0.009754	4.1
115	-0.174102	20.365529	2.629668	0.009495	3.4
116	-0.187935	19.394543	2.692878	0.005925	3.5
117	-0.206329	19.696372	2.672906	0.010706	4.5
118	-0.217173	20.691664	2.609097	0.004415	3.9
119	-0.201500	21.687124	2.548253	0.016702	3.4
120	-0.189418	20.744471	2.605796	0.011114	3.4
121	-0.200115	21.744471	2.544834	0.012309	3.4
122	-0.183215	20.772849	2.604026	0.012851	3.4
123	-0.193646	21.770410	2.543291	0.006638	3.4
124	-0.207024	22.765057	2.485490	0.008091	4.4
125	-0.216998	23.612442	2.438279	0.006995	4.1
126	-0.203948	24.235047	2.404719	0.013201	3.3
127	-0.185171	23.265745	2.457376	0.013329	4.3
128	-0.177641	24.265745	2.403089	0.001224	4.3
129	-0.220454	24.385751	2.396734	0.008801	3.5
130	-0.179299	24.836824	2.373149	0.014854	3.3
131	-0.189772	25.245932	2.352155	0.004287	3.4
132	-0.196046	24.315499	2.400450	0.014093	3.3
133	-0.192867	25.310900	2.348855	0.004700	3.3
134	-0.199592	26.014074	2.313724	0.009827	3.8
135	-0.190664	26.837257	2.273910	0.002880	4.5
136	-0.200671	27.327866	2.250826	0.008357	3.2
137	-0.200615	26.429720	2.293448	0.005025	3.3
138	-0.193409	26.906351	2.270630	0.007025	8.1
139	-0.192069	27.867948	2.225950	0.002963	4.3
140	-0.202166	28.679569	2.189584	0.008838	4.0
141	-0.189596	29.406765	2.157996	0.012985	3.8
142	-0.199315	30.406550	2.116026	0.007500	4.3
143	-0.175886	29.435816	2.156753	0.006462	3.5
144	-0.209442	30.267735	2.121755	0.014019	3.4
145	-0.182106	30.941068	2.094250	0.005743	3.5
146	-0.190772	31.780241	2.060953	0.016792	3.6
147	-0.195711	30.818606	2.099200	0.009236	4.4
148	-0.213593	31.818543	2.059458	0.007912	3.9
149	-0.198920	32.818453	2.021195	0.003529	3.7
150	-0.179874	33.731168	1.987489	0.001825	3.5
151	-0.182084	33.691933	1.988915	0.003568	3.4
152	-0.204163	33.663578	1.989946	0.006702	3.3
153	-0.197612	34.151217	1.972352	0.003243	4.1
154	-0.194574	33.464890	1.997206	0.006859	4.1
155	-0.181826	33.688801	1.989029	0.002478	3.5
156	-0.207442	33.063881	2.012020	0.004085	3.2
157	-0.197069	33.657476	1.990169	0.009355	4.6
158	-0.178394	34.626169	1.955511	0.004592	4.2
159	-0.213613	34.927794	1.944965	0.005590	3.4
160	-0.201075	35.815088	1.914590	0.004182	3.4
161	-0.185059	36.486811	1.892218	0.003550	3.4
162	-0.171603	37.036287	1.874303	0.007334	3.7
163	-0.194835	36.416939	1.894521	0.002966	7.8
164	-0.192249	35.608518	1.921576	0.017268	4.9
165	-0.189572	34.643488	1.954903	0.015616	4.4
166	-0.198446	35.643397	1.920393	0.012099	4.4
167	-0.178837	36.643245	1.887083	0.004810	3.3
168	-0.221851	35.672335	1.919413	0.006890	3.3
169	-0.189240	34.714712	1.952403	0.002856	3.4
170	-0.203643	34.129041	1.973145	0.003058	3.5
