1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.247307	0.000000	30.056848	0.006270	118.0
1	-0.262065	0.000000	30.056848	0.013745	3.6
2	-0.239405	0.000000	30.056848	0.006939	3.7
3	-0.272873	0.000000	30.056848	0.006623	3.5
4	-0.284221	0.733879	29.041932	0.006840	4.3
5	-0.263676	1.732924	27.765623	0.007808	3.6
6	-0.264650	2.732879	26.595754	0.008413	3.7
7	-0.262932	3.732879	25.520434	0.003466	4.2
8	-0.275871	4.725010	24.536194	0.004379	3.7
9	-0.266345	5.463233	23.851727	0.011438	3.5
10	-0.289785	6.463233	22.983230	0.002722	3.4
11	-0.255684	5.828261	23.527198	0.004723	3.8
12	-0.231539	6.559443	22.902996	0.005721	3.6
13	-0.271474	6.011096	23.367946	0.002316	3.5
14	-0.277684	5.782115	23.567736	0.005355	3.5
15	-0.255152	5.284223	24.014170	0.003460	3.5
16	-0.218855	5.095827	24.187539	0.005514	3.8
17	-0.278502	4.502163	24.750600	0.003040	3.8
18	-0.269319	5.431476	23.880385	0.003425	7.1
19	-0.259823	4.983766	24.291852	0.005476	4.8
20	-0.271468	5.968242	23.405078	0.005306	5.0
21	-0.263175	6.947117	22.585292	0.004890	3.5
22	-0.230391	6.843170	22.669610	0.005037	3.5
23	-0.267305	7.716752	21.979987	0.004443	3.5
24	-0.267212	8.715191	21.241453	0.002154	3.6
25	-0.285684	8.395238	21.472656	0.005854	4.4
26	-0.252395	7.969835	21.787967	0.008855	4.6
27	-0.283247	8.969835	21.060971	0.008396	4.3
28	-0.247151	8.334809	21.516889	0.007210	4.8
29	-0.254842	9.334809	20.807575	0.004432	6.7
30	-0.256514	9.148967	20.935836	0.005492	5.1
31	-0.250029	8.803615	21.178431	0.009474	4.4
32	-0.262652	9.803615	20.490901	0.008849	6.4
33	-0.264036	9.168660	20.922169	0.003904	4.7
34	-0.276119	10.058850	20.322511	0.002154	4.9
35	-0.286764	9.462485	20.720366	0.005979	4.6
36	-0.291854	8.964499	21.064722	0.002296	6.0
