1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.250802	0.000000	231.191260	0.009370	289.0
1	-0.252450	0.000000	231.191260	0.009731	5.2
2	-0.251849	0.000000	231.191260	0.009366	4.2
3	-0.237721	0.000000	231.191260	0.009407	3.9
4	-0.254683	0.000000	231.191260	0.010101	4.5
5	-0.235848	0.999999	220.682576	0.009223	5.2
6	-0.235892	0.018135	230.991786	0.009560	3.9
7	-0.236417	1.007521	220.607151	0.009203	3.9
8	-0.240570	0.025656	230.909152	0.010654	6.6
9	-0.261195	0.000000	231.191260	0.009524	4.6
10	-0.236915	0.000000	231.191260	0.010881	4.0
11	-0.245930	1.000000	220.682567	0.010972	4.1
12	-0.259391	1.998838	211.098340	0.008916	3.9
13	-0.233386	2.993886	202.343896	0.010057	5.4
14	-0.229954	2.012022	210.977395	0.008545	4.4
15	-0.240691	2.734701	204.553514	0.009095	4.2
16	-0.240691	1.752949	213.379653	0.010325	3.9
17	-0.238243	1.486728	215.905862	0.010429	4.5
18	-0.244137	0.504864	225.763645	0.010480	5.6
19	-0.251764	0.000000	231.191260	0.011884	4.0
20	-0.241571	0.000000	231.191260	0.010767	3.9
21	-0.245430	0.000000	231.191260	0.012559	4.0
22	-0.225200	0.000000	231.191260	0.008834	5.5
23	-0.253087	1.000000	220.682566	0.012413	4.4
24	-0.238908	0.355576	227.341866	0.012489	3.9
25	-0.214030	1.355573	217.172532	0.008824	4.1
26	-0.234074	0.373971	227.146208	0.009955	5.4
27	-0.217103	1.373971	216.993956	0.009809	6.3
28	-0.226107	2.373966	207.710427	0.010005	4.0
29	-0.263322	1.392101	216.818259	0.011138	4.2
30	-0.221254	2.392101	207.549393	0.009561	5.4
31	-0.250434	1.635389	214.487874	0.009771	4.1
32	-0.239617	2.633413	205.430185	0.012859	4.0
33	-0.246301	3.633127	197.092979	0.011665	3.9
34	-0.256051	4.633127	189.403984	0.012033	4.4
35	-0.225967	5.559645	182.796740	0.012591	5.1
36	-0.260056	6.559645	176.163972	0.010954	4.1
37	-0.257158	5.577832	182.671652	0.009910	4.1
38	-0.255103	6.576023	176.059341	0.009375	4.5
39	-0.223535	7.575928	169.898819	0.009427	5.4
40	-0.255496	8.553966	164.276309	0.010628	4.1
41	-0.264236	9.553966	158.899714	0.010603	3.9
42	-0.238389	10.553966	153.863906	0.009998	3.9
43	-0.245439	9.572102	158.805450	0.009574	4.4
44	-0.263468	8.590239	164.074935	0.009988	5.3
45	-0.254024	9.590239	158.711298	0.009620	4.0
46	-0.233762	10.144843	155.885082	0.010718	4.0
47	-0.249994	10.366677	154.782621	0.010168	5.3
48	-0.256948	11.366675	150.000470	0.010612	5.6
49	-0.219496	12.053054	146.885561	0.011324	4.8
50	-0.234470	13.053054	142.572129	0.011832	7.0
51	-0.235482	14.053054	138.504805	0.008954	7.5
52	-0.233545	15.051484	134.668976	0.010335	4.5
53	-0.252846	15.756127	132.087268	0.009827	3.8
54	-0.229653	14.776303	135.704811	0.011643	4.4
55	-0.264958	15.776223	132.015091	0.010020	5.0
56	-0.228446	16.776223	128.520430	0.009703	4.2
57	-0.231121	15.810746	131.891280	0.012213	4.2
58	-0.258596	14.829915	135.501759	0.009594	7.6
59	-0.229982	13.848344	139.318427	0.010312	8.2
60	-0.236583	14.848341	135.432109	0.010520	5.4
61	-0.242771	15.848267	131.756982	0.009879	8.2
62	-0.239491	14.866781	135.362481	0.009475	7.4
63	-0.240568	14.044945	138.536855	0.010195	4.5
64	-0.243591	13.063081	142.530164	0.010591	5.4
