1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.136431	0.000000	1.183443	0.022999	2185.9
1	-0.133448	0.000000	1.183443	0.027279	5.7
2	-0.125414	0.062214	1.179947	0.032841	4.8
3	-0.144239	0.000000	1.183443	0.061305	4.2
4	-0.119336	0.000000	1.183443	0.048650	4.3
5	-0.140443	0.999155	1.129694	0.044407	4.7
6	-0.123569	1.999155	1.080575	0.045861	6.0
7	-0.149720	1.021057	1.128570	0.013146	4.3
8	-0.129501	2.020610	1.079568	0.039353	4.3
9	-0.133716	2.944585	1.037909	0.034032	5.0
10	-0.122697	3.944580	0.996301	0.048184	5.7
11	-0.149256	4.944577	0.957900	0.042126	4.2
12	-0.140720	3.985746	0.994659	0.043760	4.3
13	-0.139887	4.985746	0.956382	0.048942	5.5
14	-0.156979	4.212746	0.985704	0.032147	4.9
15	-0.140482	3.234014	1.025513	0.034290	4.6
16	-0.141549	2.255593	1.068659	0.044183	4.3
17	-0.129105	3.255593	1.024601	0.018198	6.4
18	-0.143166	4.252535	0.984151	0.041716	5.2
19	-0.149035	5.252214	0.946675	0.056310	4.3
20	-0.134752	6.252214	0.911937	0.052703	4.2
21	-0.125000	5.273481	0.945908	0.045125	5.6
22	-0.137092	6.273481	0.911226	0.030344	4.8
23	-0.120562	6.279725	0.911017	0.025123	4.4
24	-0.129648	7.279511	0.878810	0.023902	4.4
25	-0.132509	8.278802	0.848816	0.046922	6.2
26	-0.136821	7.324227	0.877422	0.045882	4.7
27	-0.130463	6.356169	0.908472	0.034394	4.2
28	-0.124683	5.377441	0.942180	0.043771	4.2
29	-0.122808	6.377441	0.907766	0.026531	4.8
30	-0.123378	7.374072	0.875881	0.034730	5.7
31	-0.130688	6.395354	0.907172	0.036800	4.3
32	-0.137740	7.395281	0.875227	0.058524	4.3
33	-0.127086	7.190875	0.881573	0.018736	5.8
34	-0.122518	8.190739	0.851376	0.039636	4.8
35	-0.144929	9.140564	0.824547	0.059538	4.4
36	-0.138718	8.186889	0.851489	0.054059	4.3
37	-0.123383	7.208156	0.881033	0.042977	5.0
38	-0.126716	6.229661	0.912692	0.034107	5.5
39	-0.140567	5.256130	0.946533	0.027686	4.3
40	-0.144175	6.255645	0.911822	0.043238	4.2
41	-0.147609	5.277010	0.945781	0.028599	5.0
42	-0.138591	4.440196	0.976891	0.029128	5.8
43	-0.120659	5.400311	0.941364	0.030880	4.4
44	-0.126474	6.400211	0.907011	0.054333	4.5
45	-0.136537	5.657469	0.932283	0.026482	5.9
