1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.447460	0.000000	153.989584	0.019678	284.0
1	-0.471003	0.000000	153.989584	0.016343	3.6
2	-0.520171	0.731781	148.804243	0.017253	3.8
3	-0.445657	0.000000	153.989584	0.016029	3.6
4	-0.518551	1.000000	146.990057	0.018367	5.0
5	-0.467321	0.021977	153.828597	0.016593	4.1
6	-0.465469	0.478379	150.559837	0.016179	3.7
7	-0.469138	0.945722	147.353606	0.016070	3.6
8	-0.483650	0.000000	153.989584	0.017550	4.8
9	-0.475272	0.889200	147.734099	0.018109	3.9
10	-0.464607	1.889200	141.279784	0.017525	3.8
11	-0.460896	2.880549	135.414863	0.019181	3.6
12	-0.503701	3.873965	130.006664	0.016978	3.6
13	-0.470329	4.873965	124.982051	0.018721	4.4
14	-0.481704	5.873965	120.331378	0.016901	5.3
15	-0.487453	4.916170	124.778519	0.017408	3.8
16	-0.460071	5.916159	120.142745	0.016714	3.5
17	-0.475496	6.916152	115.839076	0.017220	4.7
18	-0.469356	5.937955	120.045537	0.016959	4.5
19	-0.471194	4.988082	124.433240	0.019179	3.7
20	-0.483380	4.011006	129.294331	0.016518	3.7
21	-0.465433	5.008989	124.333215	0.015981	3.7
22	-0.458971	6.008962	119.729934	0.015029	4.3
23	-0.473037	5.790137	120.707904	0.021185	5.2
24	-0.465181	6.330559	118.321079	0.017438	3.7
25	-0.463514	7.330559	114.144632	0.016667	3.8
26	-0.476600	8.328997	110.258842	0.017444	4.7
27	-0.456963	7.351870	114.058836	0.015945	4.5
28	-0.481805	6.373673	118.134722	0.017671	3.6
29	-0.484855	7.371402	113.980313	0.016051	3.7
30	-0.498716	6.393205	118.050491	0.017883	4.3
31	-0.514458	6.609451	117.125880	0.016135	3.9
32	-0.487432	7.525275	113.365473	0.019092	4.7
33	-0.503073	8.525270	109.525884	0.016536	3.8
34	-0.502842	7.547105	113.278783	0.016817	3.7
35	-0.451655	8.547105	109.444946	0.018414	3.8
36	-0.473281	7.568907	113.192332	0.018910	4.1
37	-0.488423	6.590732	117.205343	0.016362	5.1
38	-0.502526	5.613818	121.507606	0.017606	3.5
39	-0.465252	6.355054	118.215130	0.019114	3.6
40	-0.523710	7.355054	114.046027	0.022211	3.6
41	-0.511694	8.355054	110.160972	0.016867	3.8
42	-0.456613	7.376873	113.958336	0.019579	4.8
43	-0.465038	8.375010	110.086132	0.015416	4.4
44	-0.499576	9.355321	106.530953	0.017442	3.6
45	-0.490059	10.355321	103.133414	0.016745	3.6
46	-0.437512	9.377124	106.454492	0.015264	4.9
47	-0.492370	8.452694	109.795773	0.015703	4.1
48	-0.479866	9.452694	106.190319	0.016532	3.6
49	-0.464788	8.474516	109.714482	0.017603	3.8
50	-0.480597	9.474515	106.114281	0.016798	5.0
51	-0.470908	8.499999	109.619707	0.018339	3.9
52	-0.473217	9.499999	106.025618	0.014913	3.6
53	-0.507067	9.809175	104.961630	0.018712	3.9
54	-0.463735	10.809048	101.662310	0.017155	5.4
55	-0.463755	9.830851	104.887838	0.016894	5.0
56	-0.463904	8.852655	108.324745	0.017843	3.8
57	-0.462731	7.874458	111.994526	0.014828	3.5
58	-0.488807	8.385305	110.047565	0.017487	3.6
59	-0.487432	7.430962	113.741536	0.016941	3.9
60	-0.446430	6.515898	117.524103	0.017621	5.2
61	-0.486431	7.498850	113.470588	0.017655	6.7
62	-0.485141	8.388075	110.037193	0.014593	7.2
63	-0.475253	9.388072	106.416138	0.017867	6.0
64	-0.474554	10.387946	103.026215	0.019351	4.0
65	-0.488768	9.409761	106.340239	0.014786	3.8
