1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.531379	0.000000	753.623784	0.005768	3233.9
1	-0.558763	0.000000	753.623784	0.005319	8.6
2	-0.539312	0.999966	719.369274	0.005785	6.9
3	-0.543686	0.045571	751.991915	0.005924	7.5
4	-0.559672	0.000000	753.623784	0.005502	8.4
5	-0.526423	0.000000	753.623784	0.006087	7.3
6	-0.539659	0.000000	753.623784	0.004800	8.6
7	-0.544036	0.000000	753.623784	0.005571	6.9
8	-0.534536	0.000000	753.623784	0.005930	8.3
9	-0.496802	0.933429	721.551536	0.005316	7.5
10	-0.529657	1.933371	690.090425	0.005427	6.7
11	-0.496589	2.544297	672.183988	0.004810	9.5
12	-0.502426	2.097832	685.176848	0.005283	6.9
13	-0.538338	1.144964	714.659073	0.005548	7.1
14	-0.551996	0.202370	746.430673	0.004922	9.0
15	-0.521538	0.000000	753.623784	0.005861	7.0
16	-0.530330	0.000000	753.623784	0.005372	9.0
17	-0.478953	0.000000	753.623784	0.005154	7.0
18	-0.546842	1.000000	719.368160	0.005573	6.9
19	-0.521689	0.045458	751.995945	0.005921	9.1
20	-0.496632	1.042591	717.978196	0.006220	6.7
21	-0.575217	0.115143	749.514183	0.006128	8.6
22	-0.582936	0.445657	737.962927	0.005083	7.6
23	-0.547473	1.346392	708.217208	0.005995	7.3
24	-0.543414	0.600911	732.658883	0.005660	8.5
25	-0.541511	1.600907	700.241793	0.005273	7.1
26	-0.537964	0.646365	731.120407	0.005385	8.1
27	-0.503432	0.000000	753.623784	0.005760	7.7
28	-0.527012	0.967465	720.433594	0.006076	7.8
29	-0.586480	0.012924	753.160273	0.006805	8.2
30	-0.535516	0.000000	753.623784	0.005894	7.0
31	-0.546520	0.995102	719.528364	0.005479	7.3
32	-0.543887	0.041298	752.144650	0.004731	8.5
33	-0.530426	1.041067	718.027839	0.005900	6.9
34	-0.576404	0.086525	750.531404	0.005869	8.8
35	-0.531525	0.000000	753.623784	0.005505	6.9
36	-0.546456	1.000000	719.368157	0.005399	8.1
37	-0.558150	1.989993	688.390787	0.005937	8.1
38	-0.522629	1.038636	718.107046	0.005266	6.9
39	-0.522988	0.084127	750.616773	0.005440	9.2
40	-0.526996	0.000000	753.623784	0.005309	7.0
41	-0.508907	0.000000	753.623784	0.005772	7.5
42	-0.515766	0.000000	753.623784	0.005355	8.5
43	-0.571702	1.000000	719.368165	0.005741	6.6
44	-0.572268	0.045463	751.995801	0.005859	8.9
45	-0.541852	0.000000	753.623784	0.005370	7.3
46	-0.554985	0.000000	753.623784	0.005744	9.1
47	-0.517591	0.999843	719.373276	0.005673	7.0
48	-0.555951	1.999843	688.095965	0.006193	6.8
49	-0.551109	2.905258	662.034255	0.005918	9.6
50	-0.582429	3.905257	635.452167	0.006010	6.8
51	-0.500707	3.975620	633.661916	0.005537	8.8
52	-0.513951	4.428455	622.377539	0.006045	7.2
53	-0.546471	3.473916	646.651712	0.006086	7.5
54	-0.559327	2.519374	672.896285	0.005709	8.6
55	-0.545611	1.564975	701.356834	0.005497	6.9
56	-0.572107	0.610433	732.336048	0.005096	6.7
57	-0.550554	1.609925	699.962484	0.005557	9.4
58	-0.535230	0.655384	730.815929	0.005986	6.9
59	-0.528173	0.000000	753.623784	0.005731	9.0
60	-0.572246	1.000000	719.368157	0.005837	6.9
61	-0.515008	0.113718	749.564774	0.005046	8.8
62	-0.544437	1.112978	715.692800	0.005477	7.1
63	-0.545083	2.080635	685.687338	0.005249	7.6
64	-0.540659	3.068863	657.534163	0.005797	8.5
65	-0.543967	2.116304	684.629329	0.005998	6.9
66	-0.548364	3.116291	656.241018	0.005853	9.0
67	-0.527945	3.559298	644.403583	0.006276	7.4
68	-0.550574	2.605706	670.435344	0.005924	6.9
69	-0.516987	3.356791	649.761268	0.005814	8.8
70	-0.510534	2.403217	676.236077	0.005833	6.9
71	-0.546095	3.403217	648.525137	0.005730	7.3
72	-0.559437	4.403216	622.995890	0.006139	8.9
73	-0.574579	3.448675	647.319312	0.005752	7.4
74	-0.565907	4.448675	621.883045	0.005352	9.8
75	-0.533852	3.547593	644.710857	0.005602	7.0
76	-0.566496	2.593088	670.793908	0.005880	9.1
77	-0.563449	3.592890	643.523368	0.005836	6.9
78	-0.553136	4.592798	618.380985	0.005636	7.4
79	-0.563221	3.652308	641.972320	0.005466	8.8
80	-0.595151	4.650899	616.980311	0.005771	6.8
81	-0.523177	5.214666	603.711660	0.005358	8.6
82	-0.573958	4.260124	626.525002	0.006026	7.6
83	-0.541226	3.305583	651.130219	0.005198	6.8
84	-0.617749	2.351041	677.747055	0.005708	9.1
85	-0.548796	3.351041	649.914692	0.005046	6.9
86	-0.548802	2.397004	676.415628	0.004900	7.6
87	-0.542038	3.397004	648.690273	0.005756	8.5
88	-0.540979	2.491836	673.685096	0.005347	7.5
89	-0.562884	1.537302	702.218022	0.004955	9.1
90	-0.544351	0.582786	733.274166	0.004882	7.1
91	-0.539531	1.550625	701.803126	0.005684	7.4
92	-0.523422	2.548568	672.062061	0.005653	9.6
93	-0.545371	3.436806	647.633720	0.005531	9.7
94	-0.554235	4.434892	622.220049	0.005422	7.9
95	-0.563682	3.480350	646.481748	0.006381	9.3
96	-0.596251	2.525809	672.712219	0.005998	7.2
97	-0.555454	1.571268	701.161286	0.005215	8.3
98	-0.565374	2.571268	671.414859	0.004989	7.9
99	-0.535221	3.563418	644.295500	0.005691	6.9
100	-0.549045	2.608880	670.345200	0.005715	8.9
101	-0.540304	3.608876	643.105324	0.005271	7.0
102	-0.585126	4.608861	617.993098	0.005997	7.8
103	-0.604278	3.654335	641.919551	0.005904	8.2
104	-0.517731	2.700116	667.764655	0.006460	7.1
105	-0.533076	1.745661	695.785426	0.006452	8.6
106	-0.556226	2.715352	667.335642	0.005896	7.1
107	-0.558098	3.712306	640.413711	0.006059	7.7
108	-0.564835	2.815720	664.523252	0.005362	8.0
109	-0.525448	1.868393	692.051214	0.004938	6.8
110	-0.560508	2.806540	664.779491	0.005961	8.2
111	-0.549439	3.746006	639.541564	0.005696	7.7
112	-0.532712	4.746006	614.701146	0.005109	7.1
113	-0.531710	3.791465	638.368879	0.006028	8.6
114	-0.535639	4.788323	613.692466	0.005569	7.2
115	-0.557675	3.835984	637.224588	0.005495	8.6
116	-0.548002	4.835984	612.560360	0.005098	7.5
117	-0.573092	3.881443	636.060356	0.005547	6.9
118	-0.588087	4.881442	611.484447	0.005740	9.3
119	-0.524194	5.877994	588.812531	0.005875	6.9
120	-0.517527	4.923452	610.493515	0.005850	8.6
121	-0.581773	3.968911	633.832195	0.006760	7.2
122	-0.549717	3.021538	658.829571	0.005200	6.9
123	-0.557111	4.021538	632.499072	0.006075	8.7
124	-0.559709	3.066996	657.585154	0.005580	6.8
125	-0.620411	4.066996	631.352049	0.005735	8.9
126	-0.549959	5.066996	607.131688	0.005690	7.6
127	-0.566510	6.066981	584.701310	0.005059	7.6
128	-0.546347	7.066981	563.868956	0.005842	8.6
129	-0.558360	6.112440	583.720960	0.005732	7.0
130	-0.543685	5.157998	605.019529	0.005620	10.2
131	-0.552307	4.203492	627.932815	0.005444	7.0
132	-0.530946	3.535941	645.017006	0.006071	6.8
133	-0.563777	2.586767	670.973675	0.005725	9.5
134	-0.572967	1.640427	699.019486	0.005242	7.1
135	-0.555434	0.685889	729.787908	0.005588	8.8
136	-0.588749	1.685887	697.618734	0.006914	7.2
137	-0.551132	2.685827	668.167483	0.005935	9.0
138	-0.620248	3.685827	641.100637	0.006316	7.4
139	-0.549438	4.685827	616.141325	0.006157	7.0
140	-0.531831	3.731285	639.922236	0.005826	9.0
141	-0.540842	4.731285	615.052812	0.005583	7.9
142	-0.562641	5.731169	592.046655	0.005160	8.4
143	-0.554712	4.954129	609.771927	0.004824	7.4
144	-0.547128	4.175647	628.627323	0.006292	6.6
145	-0.591732	5.093449	606.516196	0.005968	8.3
146	-0.585491	4.160866	628.996616	0.005897	7.2
147	-0.585319	5.160865	604.953218	0.005700	7.5
148	-0.628974	4.206323	627.862269	0.005873	8.3
149	-0.582350	3.352452	649.877032	0.005789	7.4
150	-0.550883	4.352452	624.243337	0.005813	9.0
151	-0.519722	5.352437	600.555432	0.005504	7.0
152	-0.575396	4.447247	621.917939	0.006750	8.5
153	-0.549770	4.054757	631.660471	0.005258	7.8
154	-0.551749	5.054757	607.416895	0.005445	6.9
155	-0.617844	6.054757	584.965505	0.006139	8.6
156	-0.567515	5.742220	591.802006	0.005599	7.2
157	-0.557827	6.742219	570.469847	0.005733	8.6
158	-0.532578	7.267551	559.868073	0.005809	7.4
159	-0.531826	6.328940	579.096713	0.005668	7.1
160	-0.577643	5.374399	600.055361	0.006148	9.3
161	-0.552528	4.419918	622.586554	0.005498	6.7
162	-0.555029	4.852306	612.173602	0.006228	7.0
163	-0.558135	3.989943	633.298739	0.005494	8.6
164	-0.560994	3.035402	658.449555	0.005351	7.0
165	-0.529356	4.035402	632.148816	0.005907	8.6
166	-0.583793	5.035402	607.868461	0.005807	7.2
167	-0.549606	4.080860	631.003062	0.006041	7.2
168	-0.575127	3.126319	655.968266	0.006052	9.1
169	-0.562082	2.226904	681.369314	0.005487	7.0
170	-0.530292	3.226904	653.244824	0.006531	8.8
171	-0.556365	4.226904	627.350056	0.005244	6.9
