1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.245154	0.000000	40.793016	0.010758	281.9
1	-0.281366	0.000000	40.793016	0.009685	4.6
2	-0.247434	0.000000	40.793016	0.007930	3.4
3	-0.255864	0.000000	40.793016	0.008678	3.2
4	-0.274581	0.000000	40.793016	0.008409	3.2
5	-0.250653	0.000000	40.793016	0.008817	3.5
6	-0.240957	0.000000	40.793016	0.009312	9.3
7	-0.249517	0.000000	40.793016	0.008471	7.2
8	-0.235392	0.000000	40.793016	0.012253	7.8
9	-0.260159	0.000000	40.793016	0.009814	3.6
10	-0.268355	0.000000	40.793016	0.008275	3.2
11	-0.260464	0.000000	40.793016	0.006551	4.1
12	-0.286322	0.000000	40.793016	0.007112	5.6
13	-0.268302	0.000000	40.793016	0.008172	4.5
14	-0.274769	0.000000	40.793016	0.005915	3.8
15	-0.286753	0.000000	40.793016	0.009903	5.3
16	-0.278381	0.000000	40.793016	0.008580	4.1
17	-0.280073	0.000000	40.793016	0.007223	4.4
18	-0.279527	0.000000	40.793016	0.008007	5.3
19	-0.270109	0.000000	40.793016	0.006790	3.8
20	-0.275415	0.000000	40.793016	0.004804	3.3
21	-0.292520	0.620617	39.622058	0.006385	4.4
22	-0.300834	0.425033	39.983757	0.009561	4.6
23	-0.282574	0.229450	40.352121	0.008318	3.6
24	-0.282787	0.033867	40.727335	0.012129	3.2
25	-0.303217	0.000000	40.793016	0.008836	3.2
26	-0.293490	0.000000	40.793016	0.007575	3.3
27	-0.299134	0.000000	40.793016	0.007736	5.8
28	-0.294851	0.000000	40.793016	0.007414	3.6
29	-0.276113	0.000000	40.793016	0.008090	3.5
30	-0.285586	0.000000	40.793016	0.009008	4.0
31	-0.304335	0.000000	40.793016	0.008792	5.7
32	-0.302813	0.000000	40.793016	0.010830	3.8
33	-0.289626	0.000000	40.793016	0.006112	3.3
34	-0.300097	0.000000	40.793016	0.007335	3.5
35	-0.296943	0.000000	40.793016	0.003729	4.2
36	-0.303132	0.000000	40.793016	0.005751	4.5
37	-0.320777	0.000000	40.793016	0.010750	4.3
38	-0.309962	0.000000	40.793016	0.005318	4.9
39	-0.320101	0.000000	40.793016	0.005295	4.3
40	-0.308115	0.000000	40.793016	0.008991	7.2
41	-0.329186	0.000000	40.793016	0.007327	6.0
42	-0.329519	0.000000	40.793016	0.004782	3.7
43	-0.309487	0.000000	40.793016	0.006354	3.4
44	-0.325379	0.000000	40.793016	0.011153	4.2
45	-0.321948	0.000000	40.793016	0.007736	4.5
46	-0.323084	0.000000	40.793016	0.003589	3.3
47	-0.356288	0.999813	38.939118	0.007322	3.3
48	-0.315066	1.988616	37.264241	0.007766	3.3
49	-0.314297	1.793033	37.584000	0.005559	5.6
50	-0.361378	2.782902	36.019714	0.008360	3.4
51	-0.347670	2.587319	36.318385	0.010600	3.1
52	-0.335107	2.391736	36.622051	0.009171	3.9
53	-0.309389	2.196153	36.930837	0.006710	3.7
54	-0.337326	2.000569	37.244875	0.010407	4.1
55	-0.352221	1.804986	37.564300	0.008101	7.0
56	-0.368512	1.609403	37.889251	0.011438	3.4
57	-0.334919	1.413820	38.219873	0.006322	5.2
58	-0.348515	1.218236	38.556316	0.009481	3.3
59	-0.340514	1.022653	38.898734	0.005764	4.4
60	-0.394302	0.827070	39.247290	0.006661	5.4
61	-0.348517	0.631487	39.602148	0.006081	3.8
62	-0.336089	0.435903	39.963482	0.004843	5.8
63	-0.349737	0.240320	40.331470	0.007553	4.9
64	-0.344595	0.044737	40.706298	0.008385	4.0
65	-0.365560	0.000000	40.793016	0.009841	3.5
66	-0.364741	0.000000	40.793016	0.004349	4.0
67	-0.337940	0.000000	40.793016	0.004989	4.2
68	-0.355729	0.000000	40.793016	0.006875	3.8
69	-0.353452	0.000000	40.793016	0.004660	3.6
70	-0.319707	1.000000	38.938788	0.006336	3.1
71	-0.332427	0.804417	39.288064	0.004638	3.0
72	-0.362697	0.608843	39.643647	0.007581	4.1
73	-0.322324	0.413259	40.005742	0.007362	4.6
74	-0.363044	0.217676	40.374513	0.003821	3.5
75	-0.362943	0.022093	40.750145	0.007647	3.2
76	-0.383455	0.000000	40.793016	0.006570	3.4
77	-0.371333	0.000000	40.793016	0.008421	3.8
78	-0.345330	0.000000	40.793016	0.005452	4.1
79	-0.381227	0.000000	40.793016	0.010651	3.4
80	-0.370637	0.000000	40.793016	0.003172	3.0
81	-0.355656	0.000000	40.793016	0.004392	3.9
82	-0.352227	0.000000	40.793016	0.005379	3.2
83	-0.377214	0.000000	40.793016	0.009446	3.7
84	-0.383126	0.212038	40.385245	0.008595	4.3
85	-0.357079	0.016454	40.761078	0.005024	3.4
86	-0.366822	0.000000	40.793016	0.007063	3.4
87	-0.385473	0.000000	40.793016	0.009109	2.9
88	-0.396171	0.000000	40.793016	0.005556	4.0
89	-0.362393	0.000000	40.793016	0.004780	4.2
90	-0.372025	0.000000	40.793016	0.006392	4.1
91	-0.383790	0.351816	40.120866	0.007977	3.0
92	-0.382623	0.156233	40.491771	0.004099	3.1
93	-0.346877	0.000000	40.793016	0.008676	3.9
94	-0.365555	0.000000	40.793016	0.006665	3.9
95	-0.372671	0.000000	40.793016	0.008434	3.2
96	-0.405265	0.000000	40.793016	0.004959	3.0
97	-0.383987	0.000000	40.793016	0.007154	2.9
98	-0.404689	0.000000	40.793016	0.005149	3.0
99	-0.408087	1.000000	38.938788	0.004386	3.7
100	-0.366158	0.804417	39.288064	0.008947	4.6
101	-0.394798	0.608839	39.643655	0.008341	3.1
102	-0.391700	0.413255	40.005750	0.006865	3.1
103	-0.380658	0.217672	40.374520	0.005103	2.9
104	-0.408804	0.022089	40.750153	0.006957	4.5
105	-0.411756	0.000000	40.793016	0.004193	3.8
106	-0.400950	0.000000	40.793016	0.005410	2.8
107	-0.404138	0.000000	40.793016	0.007177	2.9
108	-0.405546	0.000000	40.793016	0.007356	3.0
109	-0.393608	1.000000	38.938788	0.007289	3.8
110	-0.425669	1.999951	37.245877	0.004762	2.9
111	-0.401650	2.962480	35.749778	0.007978	3.7
112	-0.416899	2.766897	36.043971	0.006811	3.7
113	-0.423749	2.571313	36.343047	0.007090	3.3
114	-0.402310	2.375730	36.647127	0.006236	3.0
115	-0.417756	2.180147	36.956338	0.005569	3.1
116	-0.393156	3.180147	35.427963	0.003540	3.9
117	-0.388977	4.180059	34.021101	0.005173	3.5
118	-0.436625	5.180059	32.721597	0.005948	3.6
119	-0.423377	6.180057	31.517716	0.005275	3.7
120	-0.422491	7.180045	30.399289	0.005387	2.9
121	-0.412947	6.986756	30.609240	0.006605	3.7
122	-0.420321	6.791181	30.824647	0.005999	3.7
123	-0.411656	6.595598	31.043116	0.008833	3.4
124	-0.434962	7.595595	29.957528	0.002854	2.8
125	-0.403560	7.400012	30.163837	0.008660	2.8
126	-0.426140	7.204436	30.373000	0.003761	2.8
127	-0.452421	7.008852	30.585092	0.007900	6.2
128	-0.395847	6.816603	30.796476	0.004288	3.7
129	-0.405472	6.621020	31.014544	0.005394	3.2
130	-0.421727	6.425453	31.235704	0.004296	3.1
131	-0.442912	7.425453	30.136840	0.007889	2.8
132	-0.430250	7.229870	30.345635	0.005672	4.4
