1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.278591	0.000000	1.375821	0.013318	1589.8
1	-0.258302	0.000000	1.375821	0.014091	3.0
2	-0.257091	0.996617	1.313486	0.026462	3.0
3	-0.286904	0.014608	1.374865	0.012100	3.1
4	-0.243091	0.631071	1.335683	0.018375	3.0
5	-0.238469	0.000000	1.375821	0.016069	4.0
6	-0.263809	0.000000	1.375821	0.022825	3.7
7	-0.280271	0.790178	1.325930	0.018915	3.0
8	-0.260525	1.157648	1.303940	0.009926	3.0
9	-0.246692	0.488910	1.344519	0.025285	3.2
10	-0.283418	0.000000	1.375821	0.020453	3.3
11	-0.286619	0.999744	1.313299	0.020197	4.2
12	-0.270171	0.016226	1.374759	0.026100	3.4
13	-0.256485	1.016209	1.312317	0.010857	3.2
14	-0.261780	0.038207	1.373323	0.011424	3.1
15	-0.250277	0.000000	1.375821	0.008739	3.0
16	-0.268536	0.325117	1.354846	0.018963	3.0
17	-0.282481	0.355448	1.352922	0.013754	4.3
18	-0.278849	1.355137	1.292421	0.017455	3.9
19	-0.285196	0.383660	1.351137	0.023101	2.9
20	-0.284921	1.376976	1.291160	0.018086	3.0
21	-0.282621	0.673552	1.333065	0.014924	3.0
22	-0.270978	0.766105	1.327396	0.009759	3.9
23	-0.269010	1.601773	1.278318	0.016789	4.0
24	-0.261091	2.594841	1.224515	0.011536	3.1
25	-0.288000	1.640010	1.276159	0.014016	3.0
26	-0.278902	2.179045	1.246481	0.016739	3.1
27	-0.263702	3.168949	1.195428	0.025487	3.1
28	-0.278765	2.189510	1.245919	0.010969	3.8
29	-0.251567	3.126298	1.197542	0.008693	4.3
30	-0.253916	3.639797	1.172585	0.022831	3.1
31	-0.270534	2.945437	1.206587	0.024024	3.6
32	-0.265264	3.945437	1.158218	0.008835	3.0
33	-0.276242	4.944506	1.113617	0.011539	3.6
34	-0.256531	5.912799	1.073550	0.019321	4.1
35	-0.293241	5.136588	1.105433	0.008227	3.0
36	-0.255456	5.879839	1.074867	0.013706	3.1
37	-0.263953	5.195317	1.102955	0.023404	3.1
38	-0.249031	4.341788	1.140103	0.018542	3.1
39	-0.282379	4.273194	1.143197	0.017817	3.5
40	-0.305956	3.291367	1.189404	0.013680	4.4
41	-0.274876	4.290472	1.142416	0.016366	3.2
42	-0.280794	3.362459	1.185933	0.013666	3.1
43	-0.245621	2.417316	1.233798	0.018327	3.1
44	-0.244882	3.415811	1.183342	0.027142	3.1
45	-0.267236	2.432665	1.232990	0.016644	3.8
46	-0.259740	3.429358	1.182685	0.019263	3.9
47	-0.301616	2.677385	1.220247	0.014808	3.2
48	-0.256704	3.534763	1.177604	0.016335	3.2
49	-0.255183	4.090864	1.151505	0.023602	3.0
50	-0.280895	3.176618	1.195049	0.019369	3.0
51	-0.261858	2.681260	1.220047	0.018276	3.8
52	-0.269731	3.391200	1.184536	0.018138	4.1
53	-0.277797	2.408262	1.234276	0.027097	3.2
54	-0.242486	1.430905	1.288055	0.028136	3.1
55	-0.269067	2.323706	1.238750	0.017367	3.1
56	-0.266205	1.340198	1.293285	0.026904	3.0
57	-0.265801	1.378999	1.291043	0.025974	4.1
58	-0.275723	0.395472	1.350391	0.021793	3.6
59	-0.242208	1.394026	1.290177	0.019261	3.0
60	-0.263118	0.486037	1.344699	0.020316	3.3
61	-0.255948	1.480939	1.285189	0.010765	3.2
62	-0.263823	2.445913	1.232294	0.021064	3.9
63	-0.279068	2.121318	1.249593	0.018871	3.8
64	-0.257407	3.115513	1.198077	0.015311	3.0
65	-0.263272	2.442657	1.232465	0.014514	3.2
66	-0.272335	1.459502	1.286415	0.024204	3.2
67	-0.269915	0.475992	1.345328	0.022705	3.0
68	-0.237909	1.475419	1.285504	0.014684	3.1
69	-0.259376	2.455967	1.231765	0.020056	3.8
70	-0.270680	3.455784	1.181408	0.016212	4.0
71	-0.246729	4.087770	1.151647	0.020250	3.2
72	-0.267202	5.058472	1.108747	0.024712	3.0
73	-0.246393	5.892316	1.074368	0.028548	3.4
74	-0.267479	6.892294	1.035851	0.013573	4.3
75	-0.259898	5.908781	1.073711	0.020666	3.3
76	-0.278887	6.857520	1.037144	0.022575	3.0
77	-0.257947	7.855654	1.001268	0.024766	3.0
78	-0.243801	8.855654	0.967731	0.020716	3.0
79	-0.274062	9.849216	0.936563	0.029044	3.0
80	-0.273234	8.868479	0.967316	0.019454	4.0
81	-0.252785	7.884953	1.000253	0.017481	3.6
82	-0.244061	8.883672	0.966824	0.015030	3.0
83	-0.227704	8.794442	0.969719	0.014406	3.1
84	-0.268419	7.826368	1.002285	0.009308	2.9
85	-0.242367	7.409495	1.016993	0.018519	3.8
86	-0.222104	8.270708	0.987070	0.015589	4.1
87	-0.287626	7.293219	1.021172	0.018880	3.4
88	-0.266607	7.741250	1.005254	0.012085	3.0
89	-0.258201	8.468861	0.980433	0.019879	3.1
90	-0.280113	8.244440	0.987957	0.016519	3.2
91	-0.273230	9.228707	0.955788	0.022255	4.0
92	-0.268034	9.032763	0.962024	0.008607	3.7
93	-0.288886	10.029730	0.931115	0.026645	3.0
94	-0.261811	11.021789	0.902268	0.029083	3.1
95	-0.257612	10.038310	0.930858	0.010274	3.1
96	-0.233370	9.054820	0.961318	0.023271	3.3
97	-0.274050	9.257105	0.954891	0.020735	4.3
98	-0.252992	8.281527	0.986706	0.021326	3.5
99	-0.281675	8.448204	0.981121	0.032860	3.3
100	-0.240391	7.464723	1.015019	0.037054	3.1
101	-0.264318	6.481196	1.051346	0.026560	3.5
102	-0.259515	5.497668	1.090369	0.013348	3.0
103	-0.263847	4.514143	1.132401	0.018904	4.0
104	-0.281331	3.718932	1.168831	0.019679	3.7
105	-0.291337	4.718926	1.123385	0.009532	2.9
106	-0.248404	5.673427	1.083185	0.013989	2.9
107	-0.267157	5.604418	1.085994	0.020050	3.1
108	-0.270082	4.623977	1.127547	0.028394	4.4
109	-0.307023	3.640493	1.172551	0.027476	3.9
110	-0.263086	2.656967	1.221300	0.018907	3.2
111	-0.267207	1.686617	1.273537	0.009907	2.9
112	-0.262599	0.714913	1.330526	0.012383	3.2
113	-0.286921	0.536673	1.341537	0.016968	3.3
114	-0.261570	0.010365	1.375143	0.030953	4.2
115	-0.269194	0.967852	1.315206	0.007934	3.4
116	-0.273575	0.216228	1.361799	0.024265	2.9
117	-0.246226	0.995155	1.313573	0.014990	2.9
118	-0.263210	0.025845	1.374130	0.019061	2.8
119	-0.271303	0.000000	1.375821	0.020077	3.1
120	-0.267315	0.000000	1.375821	0.017554	4.5
121	-0.282756	0.999914	1.313289	0.018219	3.5
122	-0.270629	1.997209	1.256337	0.019412	3.1
123	-0.287383	2.825733	1.212649	0.015853	3.1
124	-0.265343	1.985858	1.256958	0.024928	3.0
125	-0.274601	2.285849	1.240764	0.023149	3.5
126	-0.288583	2.296171	1.240214	0.014927	4.2
127	-0.270577	2.202698	1.245211	0.018630	3.0
128	-0.264887	3.192062	1.194286	0.020275	3.1
129	-0.274949	2.208537	1.244897	0.014203	2.9
130	-0.271292	3.202905	1.193751	0.017263	3.0
131	-0.242974	2.220104	1.244277	0.029966	3.1
132	-0.293369	3.125080	1.197602	0.014510	4.1
133	-0.267806	3.036669	1.202007	0.022061	3.6
134	-0.287946	2.057484	1.253053	0.011942	3.1
135	-0.257683	1.079280	1.308568	0.023496	2.9
136	-0.260783	0.098879	1.369374	0.019854	3.0
137	-0.291068	1.097604	1.307483	0.015613	3.6
138	-0.276944	0.156593	1.365638	0.026520	4.9
139	-0.266021	0.000000	1.375821	0.026839	3.1
140	-0.268612	0.000000	1.375821	0.025277	3.0
141	-0.265901	0.999995	1.313284	0.014751	2.9
142	-0.277030	0.016736	1.374726	0.019756	3.0
143	-0.259773	0.000000	1.375821	0.010637	3.5
144	-0.284458	0.000000	1.375821	0.029721	4.2
145	-0.270510	0.000000	1.375821	0.027879	3.0
146	-0.249255	0.997617	1.313426	0.018884	3.0
147	-0.254202	1.997357	1.256329	0.021685	3.2
148	-0.268943	2.861286	1.210842	0.008439	2.9
149	-0.294537	3.482058	1.180140	0.010223	4.2
150	-0.261666	3.983899	1.156435	0.011162	3.7
151	-0.253665	4.957283	1.113069	0.018246	3.1
152	-0.274029	5.840634	1.076437	0.026475	3.1
153	-0.254148	5.773223	1.079147	0.007606	3.7
154	-0.261279	6.672840	1.044065	0.021622	3.0
155	-0.251728	5.858852	1.075707	0.012998	4.1
156	-0.250765	6.213978	1.061669	0.018952	3.7
157	-0.271676	7.060835	1.029629	0.013811	3.1
158	-0.249456	6.188664	1.062658	0.022682	3.0
