1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.297822	0.000000	17.179249	0.007973	356.6
1	-0.267860	0.000000	17.179249	0.006405	4.2
2	-0.271184	0.000000	17.179249	0.016463	4.2
3	-0.300899	0.000000	17.179249	0.011445	3.3
4	-0.286448	1.000000	16.398374	0.004570	3.2
5	-0.275813	0.183585	17.030367	0.010601	3.2
6	-0.263340	0.688712	16.633732	0.003141	3.2
7	-0.294081	0.603771	16.699132	0.010009	9.1
8	-0.313172	0.000000	17.179249	0.018048	4.0
9	-0.270037	0.000000	17.179249	0.018411	3.2
10	-0.274630	0.000000	17.179249	0.010210	4.4
11	-0.271741	0.000000	17.179249	0.010585	3.8
12	-0.274800	0.000000	17.179249	0.011257	3.2
13	-0.297446	0.000000	17.179249	0.005069	3.3
14	-0.288667	0.769512	16.571995	0.011263	3.6
15	-0.303547	0.002562	17.177153	0.005881	3.3
16	-0.273373	0.000000	17.179249	0.011842	3.8
17	-0.285317	0.000000	17.179249	0.007205	4.3
18	-0.285925	0.000000	17.179249	0.008842	3.9
19	-0.240812	0.000000	17.179249	0.007404	4.1
20	-0.310939	0.754676	16.583296	0.014976	5.2
21	-0.284042	0.613913	16.691296	0.009863	3.9
22	-0.293933	1.613913	15.953198	0.005136	3.5
23	-0.306474	0.841623	16.517281	0.007106	3.4
24	-0.282811	1.311299	16.169575	0.011458	3.3
25	-0.303081	2.308800	15.477597	0.010901	3.3
26	-0.289158	1.473347	16.052981	0.009546	3.2
27	-0.281377	2.473346	15.369101	0.015817	4.4
28	-0.282296	1.637890	15.936301	0.009630	3.9
29	-0.305233	2.637890	15.262116	0.007517	3.1
30	-0.275363	3.305998	14.842601	0.008366	3.7
31	-0.277600	2.471065	15.370594	0.013665	7.8
32	-0.292122	1.635609	15.937907	0.006441	4.4
33	-0.308489	0.909758	16.465916	0.004785	3.4
34	-0.295670	0.081692	17.112679	0.015432	3.6
35	-0.272955	1.081348	16.337962	0.011776	4.4
36	-0.323553	2.081348	15.630119	0.011147	3.8
37	-0.276864	1.245892	16.217116	0.002161	3.2
38	-0.282734	1.278644	16.193276	0.015161	3.2
39	-0.282757	1.432182	16.082440	0.006330	3.3
40	-0.275457	2.432182	15.396100	0.008365	7.6
41	-0.291616	3.431893	14.766118	0.007619	5.5
42	-0.299497	2.602080	15.285272	0.012586	5.6
43	-0.296219	3.602080	14.663973	0.008234	5.0
44	-0.305604	4.590825	14.097405	0.007021	3.7
45	-0.283393	3.755816	14.572908	0.010547	3.4
46	-0.277301	2.920822	15.081598	0.005964	3.3
47	-0.264003	3.888533	14.495198	0.010301	3.3
48	-0.280452	3.100228	14.969328	0.005043	4.4
49	-0.261890	2.266551	15.505702	0.013082	4.1
50	-0.289450	3.192349	14.912327	0.011160	3.4
51	-0.295661	4.191496	14.320873	0.017400	3.8
52	-0.289949	4.580512	14.103088	0.013775	3.3
53	-0.300983	5.580512	13.572508	0.002534	3.2
54	-0.295621	6.547731	13.095969	0.009441	4.9
55	-0.304731	5.842953	13.439811	0.002929	4.6
56	-0.297686	5.245690	13.745656	0.005725	3.7
57	-0.267745	4.604050	14.090124	0.010196	3.2
58	-0.305655	3.773835	14.562308	0.008399	4.6
59	-0.292913	4.399877	14.203385	0.007292	4.2
60	-0.281204	5.231295	13.753199	0.006480	3.3
