1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.221792	0.000000	2.850727	0.015706	1201.8
1	-0.238334	0.000000	2.850727	0.021976	4.4
2	-0.212957	0.999995	2.721150	0.003409	4.1
3	-0.251660	1.950120	2.608495	0.017859	3.2
4	-0.229039	2.873615	2.507592	0.031929	3.2
5	-0.244823	1.894914	2.614785	0.009418	3.2
6	-0.239803	2.894914	2.505356	0.022778	3.2
7	-0.227862	1.918348	2.612111	0.013776	3.2
8	-0.246105	0.939647	2.728634	0.015169	9.2
9	-0.232011	0.000000	2.850727	0.013379	5.0
10	-0.223960	0.999994	2.721150	0.026701	4.3
11	-0.210391	1.999994	2.602839	0.009850	4.0
12	-0.234760	1.021309	2.718516	0.019837	3.2
13	-0.216908	2.021298	2.600430	0.011426	3.2
14	-0.230556	3.021296	2.492175	0.034811	3.3
15	-0.233493	2.042602	2.598026	0.018132	3.1
16	-0.233742	3.042602	2.489967	0.012384	4.2
17	-0.217519	4.020501	2.392649	0.016517	4.0
18	-0.211805	5.008030	2.301800	0.013467	3.5
19	-0.251703	4.060112	2.388867	0.021701	3.2
20	-0.229096	3.081412	2.485954	0.017000	3.2
21	-0.215454	2.273022	2.572304	0.008317	4.3
22	-0.255591	3.263092	2.467339	0.019767	3.9
23	-0.219350	4.262584	2.369721	0.020278	3.3
24	-0.222394	5.262584	2.279489	0.014888	3.2
25	-0.233974	6.262584	2.195877	0.018387	3.2
26	-0.237778	5.283960	2.277635	0.012741	3.2
27	-0.224152	5.084750	2.295030	0.013276	4.1
28	-0.230556	6.082780	2.210455	0.011463	4.2
29	-0.231101	7.039722	2.135017	0.007274	3.4
30	-0.227537	7.350554	2.111609	0.021351	3.2
31	-0.218666	8.350521	2.039667	0.013497	3.1
32	-0.219383	7.371821	2.110026	0.020138	3.6
33	-0.237809	6.425532	2.182830	0.011041	4.2
34	-0.228481	7.425526	2.106039	0.020656	4.0
35	-0.211832	6.447887	2.181052	0.022378	3.4
36	-0.199026	7.447813	2.104389	0.014635	3.7
37	-0.228395	6.469294	2.179353	0.013008	4.5
38	-0.215105	7.469136	2.102813	0.014366	3.7
39	-0.220358	8.469107	2.031459	0.027602	3.2
40	-0.233374	9.468551	1.964822	0.010082	3.2
41	-0.260255	10.468551	1.902384	0.012885	3.2
42	-0.228357	11.467120	1.843874	0.019163	4.1
43	-0.231859	12.467112	1.788779	0.021590	3.9
44	-0.222959	11.488411	1.842666	0.013182	3.3
45	-0.240283	10.509710	1.899899	0.011725	3.2
46	-0.223677	9.569096	1.958359	0.012279	3.2
47	-0.237543	8.592110	2.023015	0.014409	3.3
48	-0.219852	9.559982	1.958943	0.019296	4.2
49	-0.232305	8.581293	2.023755	0.017155	3.9
50	-0.242508	9.579260	1.957708	0.011058	3.3
51	-0.252676	10.579255	1.895715	0.018754	3.2
52	-0.234730	9.601404	1.956292	0.016314	3.5
53	-0.221501	9.856074	1.940146	0.021364	4.3
54	-0.235504	8.880428	2.003495	0.002993	4.2
55	-0.218052	8.021996	2.062755	0.017186	3.3
56	-0.244081	7.756532	2.081798	0.013706	3.4
57	-0.213825	8.756529	2.011837	0.022052	3.2
58	-0.251255	7.779754	2.080118	0.007517	4.0
59	-0.244538	8.741880	2.012828	0.012490	4.6
60	-0.229382	7.920723	2.069979	0.010484	3.3
61	-0.220207	8.915021	2.001178	0.014823	3.2
62	-0.239237	7.936419	2.068856	0.016432	3.4
63	-0.211242	6.957720	2.141279	0.016526	5.2
64	-0.254188	7.957719	2.067334	0.016671	4.5
65	-0.219752	8.956501	1.998407	0.010631	3.3
66	-0.247906	9.955218	1.933932	0.014772	3.2
67	-0.233245	8.979245	1.996891	0.013545	3.2
68	-0.221728	9.978845	1.932457	0.018515	3.2
69	-0.229611	10.978822	1.872029	0.004590	4.2
70	-0.220742	11.879638	1.820740	0.026870	4.0
71	-0.230572	10.902265	1.876521	0.005076	3.4
72	-0.226610	9.957227	1.933806	0.008260	3.4
73	-0.233561	9.248380	1.979123	0.009979	3.3
74	-0.238484	10.235813	1.916559	0.028871	3.2
75	-0.212996	11.235737	1.857109	0.015271	3.9
76	-0.231502	12.235737	1.801232	0.018868	4.9
77	-0.238677	13.235736	1.748620	0.010863	3.8
78	-0.232348	14.223500	1.699583	0.013283	3.2
