1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.214307	0.000000	3.587419	0.013477	1347.0
1	-0.235710	0.000000	3.587419	0.018325	4.0
2	-0.224301	0.000000	3.587419	0.016938	3.6
3	-0.213254	0.000000	3.587419	0.013130	3.6
4	-0.217910	0.000000	3.587419	0.012042	4.6
5	-0.238385	0.923317	3.436332	0.013278	4.5
6	-0.209925	0.000000	3.587419	0.009519	3.5
7	-0.225188	0.000000	3.587419	0.020415	3.6
8	-0.237170	0.999971	3.424359	0.016187	3.5
9	-0.238901	0.019570	3.584079	0.020981	4.7
10	-0.239375	1.019570	3.421311	0.008548	4.4
11	-0.235510	2.019570	3.272685	0.020131	3.7
12	-0.224001	1.105990	3.407936	0.005007	3.5
13	-0.243154	0.125592	3.566092	0.007787	3.4
14	-0.240689	0.000000	3.587419	0.017538	3.6
15	-0.246492	0.998933	3.424521	0.035924	4.6
16	-0.254833	1.998933	3.275622	0.006497	4.3
17	-0.236531	1.018531	3.421473	0.012223	3.6
18	-0.227953	1.475165	3.351958	0.012900	3.7
19	-0.239538	2.475165	3.209170	0.007890	4.6
20	-0.225618	1.858119	3.295801	0.013291	4.1
21	-0.232687	0.877720	3.443494	0.015221	3.5
22	-0.218230	0.000000	3.587419	0.007827	3.4
23	-0.241295	0.999999	3.424355	0.025502	3.5
24	-0.226191	0.019778	3.584044	0.016123	4.3
25	-0.226532	0.000000	3.587419	0.005754	4.9
26	-0.245139	0.998436	3.424598	0.009290	3.6
27	-0.231534	1.989610	3.276950	0.024486	3.5
28	-0.249963	2.989610	3.140351	0.014421	4.1
29	-0.223432	3.989610	3.014685	0.022398	4.7
30	-0.214286	4.989610	2.898689	0.017123	3.9
31	-0.237219	5.989610	2.791289	0.010585	3.5
32	-0.228413	5.009208	2.896505	0.012879	3.7
33	-0.248779	6.009188	2.789266	0.012615	4.1
34	-0.230620	7.008320	2.689765	0.015877	4.7
35	-0.227133	8.008284	2.597044	0.020928	3.9
36	-0.230817	9.008284	2.510500	0.011412	3.5
37	-0.230843	10.008284	2.429538	0.017539	3.5
38	-0.226520	11.007185	2.353715	0.009774	3.4
39	-0.228408	10.027748	2.428014	0.014788	5.6
40	-0.229969	10.363249	2.402041	0.017832	4.3
41	-0.242983	9.382855	2.479550	0.010467	3.6
42	-0.219815	10.381961	2.400609	0.010866	3.5
43	-0.215942	10.782220	2.370376	0.013390	4.7
44	-0.234343	11.782220	2.298069	0.005636	4.3
45	-0.219968	12.777756	2.230338	0.004303	3.6
46	-0.210708	13.516429	2.182607	0.017492	3.5
47	-0.236663	14.511884	2.121425	0.014635	3.5
48	-0.205793	15.511884	2.063323	0.004849	5.0
49	-0.249770	14.560236	2.118541	0.016881	4.0
50	-0.240014	13.579910	2.178600	0.018251	3.7
51	-0.230848	13.538076	2.181239	0.010077	3.5
52	-0.264743	12.557728	2.244961	0.009129	4.3
53	-0.267154	11.712188	2.302989	0.025370	4.8
54	-0.237495	10.731786	2.374143	0.027674	3.5
55	-0.252909	11.731786	2.301610	0.017196	3.5
56	-0.224949	10.751385	2.372678	0.009335	3.9
57	-0.230041	9.772456	2.448157	0.028589	4.2
58	-0.239581	8.792055	2.528721	0.009403	4.9
59	-0.232505	9.790031	2.446760	0.013927	3.6
60	-0.213850	8.809700	2.527224	0.004679	3.6
61	-0.208767	7.835857	2.612574	0.014995	3.7
62	-0.242655	8.801436	2.527925	0.013906	3.4
63	-0.229275	7.821035	2.613917	0.010612	4.6
64	-0.254223	6.934696	2.696854	0.006207	4.4
65	-0.202157	7.845939	2.611661	0.017091	3.5
66	-0.231414	6.865541	2.703547	0.008264	3.5
67	-0.219825	7.865540	2.609887	0.007567	4.6
68	-0.206588	8.648783	2.540941	0.008427	4.4
69	-0.220530	7.670576	2.627635	0.010014	3.6
70	-0.227020	7.742442	2.621065	0.014952	3.5
71	-0.251287	8.742442	2.532939	0.018545	3.6
72	-0.208429	9.742442	2.450547	0.015952	4.8
73	-0.238661	10.742442	2.373346	0.008827	4.3
74	-0.240152	11.742435	2.300861	0.009672	4.0
75	-0.220162	10.765668	2.371611	0.010942	3.7
76	-0.223898	9.785274	2.447138	0.010531	4.8
77	-0.234468	8.806892	2.527463	0.010092	5.4
78	-0.243191	9.645098	2.458331	0.033267	3.7
79	-0.222165	10.645098	2.380647	0.012420	3.7
80	-0.210511	11.645098	2.307722	0.003390	3.8
81	-0.244081	11.137891	2.344143	0.015227	4.7
82	-0.220692	10.966153	2.356737	0.023838	4.1
83	-0.225128	9.985751	2.431305	0.010667	3.8
84	-0.238893	10.985751	2.355293	0.011205	3.7
85	-0.238151	11.984224	2.283995	0.016002	3.5
86	-0.235685	12.984224	2.216788	0.010417	3.5
87	-0.249323	12.006255	2.282470	0.010433	4.8
88	-0.258203	12.980611	2.217023	0.029550	5.3
89	-0.241642	13.980611	2.153645	0.007215	3.7
90	-0.219717	14.980611	2.093789	0.007367	5.0
91	-0.228840	14.019554	2.151250	0.009827	4.7
92	-0.238159	13.060467	2.211825	0.013770	3.8
93	-0.239449	12.083682	2.277129	0.017388	3.6
94	-0.241696	11.103280	2.346670	0.008484	3.5
95	-0.239339	12.103279	2.275781	0.026731	4.4
96	-0.240588	11.122877	2.345238	0.016153	4.8
97	-0.226116	12.122877	2.274434	0.016794	3.7
98	-0.238744	11.142476	2.343808	0.024112	4.4
99	-0.231275	10.162074	2.417548	0.009542	4.7
100	-0.222705	9.181672	2.496078	0.013308	5.4
101	-0.232235	10.181532	2.416039	0.026341	3.6
102	-0.254080	9.201135	2.494469	0.013624	3.6
103	-0.242332	8.220733	2.578163	0.012325	3.6
104	-0.213596	7.242276	2.667483	0.019668	4.7
105	-0.228557	8.242276	2.576263	0.007641	4.1
106	-0.251022	7.262617	2.665564	0.009345	4.1
107	-0.236631	6.287904	2.760776	0.017216	3.5
108	-0.245693	7.287904	2.663181	0.021251	3.7
109	-0.234689	6.307502	2.758795	0.026803	4.8
110	-0.238247	5.327100	2.861531	0.011679	4.7
111	-0.231297	6.327100	2.756817	0.011680	3.7
112	-0.264927	5.346705	2.859401	0.015375	3.5
113	-0.231828	6.125365	2.777319	0.018174	4.0
114	-0.220483	5.629893	2.828994	0.007825	4.8
115	-0.227176	5.188786	2.876644	0.019326	3.9
116	-0.234324	6.175750	2.772170	0.008813	3.6
117	-0.231087	7.175474	2.673808	0.009581	3.5
118	-0.237791	6.195382	2.770169	0.014847	3.8
119	-0.232204	6.917116	2.698553	0.014163	5.4
120	-0.229302	5.936714	2.796770	0.006430	4.0
121	-0.238331	5.567932	2.835592	0.016004	3.6
122	-0.226870	4.587535	2.944238	0.009855	4.1
123	-0.228030	3.608579	3.061363	0.019673	8.5
124	-0.242422	4.608579	2.941819	0.019608	3.8
125	-0.223154	3.628177	3.058927	0.010020	3.6
126	-0.235833	4.628177	2.939569	0.017459	3.7
127	-0.236102	5.628177	2.829176	0.008022	4.8
128	-0.227695	4.650327	2.937031	0.014287	4.4
129	-0.233763	5.650326	2.826825	0.010011	7.1
130	-0.231388	4.677690	2.933901	0.016925	7.3
131	-0.226552	3.697289	3.050367	0.007695	6.1
132	-0.243595	4.697233	2.931670	0.022102	4.3
133	-0.229512	3.810378	3.036463	0.009667	4.2
134	-0.233288	4.810378	2.918818	0.014110	4.8
135	-0.202917	3.830037	3.034059	0.017982	3.8
136	-0.236294	4.830037	2.916597	0.019400	3.6
137	-0.221842	5.830037	2.807890	0.018402	3.5
138	-0.241093	4.849635	2.914386	0.015285	6.7
139	-0.225595	3.869234	3.029277	0.005622	4.6
140	-0.250874	2.889499	3.153511	0.006570	8.0
141	-0.242877	3.293299	3.101094	0.012115	4.8
142	-0.242091	4.291929	2.978650	0.012908	4.5
143	-0.229754	3.312149	3.098690	0.004188	3.6
144	-0.258051	3.595096	3.063042	0.007261	3.6
145	-0.237685	2.698891	3.178875	0.016296	3.6
146	-0.221354	1.719428	3.315920	0.023015	7.8
147	-0.246413	0.739030	3.465463	0.016863	4.3
148	-0.245623	0.000000	3.587419	0.010754	4.5
149	-0.228384	0.000000	3.587419	0.013445	3.6
150	-0.237333	0.999680	3.424405	0.011323	9.5
151	-0.228196	1.999668	3.275517	0.007960	5.9
152	-0.243657	2.251907	3.239984	0.002773	3.7
153	-0.255242	1.996655	3.275946	0.009683	4.6
154	-0.220388	1.619459	3.330575	0.018224	4.3
155	-0.228760	0.639918	3.481335	0.017501	3.6
156	-0.224414	0.000000	3.587419	0.016929	3.5
157	-0.217899	0.000000	3.587419	0.018047	3.5
158	-0.240147	0.000000	3.587419	0.012645	4.3
159	-0.230145	0.000000	3.587419	0.007859	4.9
160	-0.240576	0.996203	3.424946	0.009633	3.5
161	-0.215615	0.015992	3.584689	0.008123	4.0
162	-0.230434	0.000000	3.587419	0.013537	4.9
163	-0.225539	0.000000	3.587419	0.021080	5.0
164	-0.239993	0.000000	3.587419	0.015469	3.7
165	-0.251588	0.000000	3.587419	0.017771	3.7
166	-0.236815	0.000000	3.587419	0.010909	4.2
167	-0.246960	0.999993	3.424356	0.010533	4.8
168	-0.254196	1.999830	3.275494	0.012632	3.9
169	-0.234114	1.019444	3.421331	0.016658	3.7
170	-0.223718	2.019444	3.272703	0.019032	3.6
171	-0.240902	1.039043	3.418288	0.007211	3.6
172	-0.234748	2.039042	3.269919	0.017879	5.4
173	-0.252456	3.039041	3.133894	0.014774	5.0
174	-0.251971	2.620928	3.189367	0.024245	3.7
175	-0.236903	1.640528	3.327476	0.013331	3.7
176	-0.243904	0.660126	3.478087	0.018233	4.8
177	-0.220318	0.000000	3.587419	0.013417	4.0
178	-0.246879	1.000000	3.424355	0.003930	3.5
179	-0.243904	0.035087	3.581435	0.025240	3.5
180	-0.252377	0.696729	3.472219	0.017588	3.5
181	-0.231394	0.000000	3.587419	0.019151	4.5
182	-0.233940	0.741657	3.465044	0.015078	5.0
183	-0.248917	1.664296	3.323986	0.005685	3.9
184	-0.222456	2.587780	3.193849	0.037430	4.0
185	-0.252512	3.587763	3.063955	0.007043	5.3
186	-0.228220	2.607361	3.191200	0.018755	4.4
187	-0.222685	3.597386	3.062756	0.022604	3.6
188	-0.233671	2.616997	3.189898	0.032333	3.7
189	-0.240575	1.636595	3.328054	0.023927	3.7
190	-0.231780	2.636595	3.187253	0.010169	4.5
191	-0.254775	1.656194	3.325175	0.014535	4.2
192	-0.216149	2.656183	3.184614	0.009046	3.7
193	-0.251108	3.656153	3.055456	0.007594	3.5
194	-0.244622	4.623999	2.940049	0.015701	4.0
