1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.152733	0.000000	0.785237	0.019150	1357.6
1	-0.182994	0.000000	0.785237	0.035248	3.6
2	-0.157686	0.999838	0.749550	0.027745	4.0
3	-0.172736	1.999834	0.716960	0.017403	4.8
4	-0.147457	2.474878	0.702452	0.020910	4.0
5	-0.155280	1.532091	0.731844	0.033536	3.6
6	-0.174001	0.548839	0.765237	0.046221	4.8
7	-0.150312	1.548839	0.731300	0.011775	4.3
8	-0.164417	0.572285	0.764405	0.047306	3.7
9	-0.165568	1.084863	0.746664	0.034440	3.6
10	-0.181545	2.084863	0.714320	0.009109	3.6
11	-0.157525	3.005090	0.686936	0.019092	4.3
12	-0.165805	3.253823	0.679892	0.019428	4.9
13	-0.160925	2.281421	0.708289	0.022884	3.7
14	-0.151340	3.117620	0.683731	0.019265	4.1
15	-0.175536	2.150499	0.712294	0.047374	3.6
16	-0.164191	1.171094	0.743760	0.028404	4.5
17	-0.166082	0.660311	0.761299	0.011296	4.8
18	-0.163075	0.000000	0.785237	0.023401	3.7
19	-0.152286	0.000000	0.785237	0.030671	3.6
20	-0.171710	0.000000	0.785237	0.023790	4.6
21	-0.162042	0.000000	0.785237	0.032704	4.7
22	-0.157348	0.000000	0.785237	0.016943	3.7
23	-0.150993	0.000000	0.785237	0.014808	3.6
24	-0.166770	0.000000	0.785237	0.020817	3.6
25	-0.169761	0.000000	0.785237	0.018492	3.5
26	-0.159466	0.000000	0.785237	0.013430	4.7
27	-0.175222	0.000000	0.785237	0.015292	4.4
28	-0.156426	0.723631	0.759080	0.026699	3.6
29	-0.175768	0.905417	0.752781	0.015035	3.5
30	-0.157687	1.879553	0.720730	0.023508	4.8
31	-0.145785	2.416740	0.704196	0.033479	4.2
32	-0.166544	1.430704	0.735152	0.044266	3.6
33	-0.175864	0.444654	0.768955	0.050946	3.5
34	-0.179935	0.000000	0.785237	0.010888	3.6
35	-0.166195	0.000000	0.785237	0.033515	8.7
36	-0.151920	0.957971	0.750979	0.023004	3.5
37	-0.165688	0.000000	0.785237	0.054557	3.4
38	-0.180963	0.999997	0.749544	0.009395	4.2
39	-0.165686	1.996622	0.717061	0.047365	5.2
40	-0.155412	2.415253	0.704241	0.035432	3.8
41	-0.142044	1.429203	0.735201	0.035504	3.6
42	-0.169150	0.444678	0.768954	0.035446	3.6
43	-0.176274	1.443464	0.734734	0.031313	4.8
44	-0.160946	2.440726	0.703475	0.039235	4.5
45	-0.139202	1.454677	0.734367	0.045261	3.6
46	-0.165028	2.454677	0.703057	0.048256	3.6
47	-0.184349	3.454677	0.674307	0.043691	3.6
48	-0.169882	2.468628	0.702639	0.018945	4.7
49	-0.157631	2.943418	0.688706	0.043806	4.2
50	-0.155751	3.922204	0.661658	0.037475	3.8
51	-0.157021	4.922125	0.636135	0.020673	3.7
52	-0.177610	5.886926	0.613308	0.019833	3.7
53	-0.188026	4.917654	0.636245	0.031392	4.8
54	-0.161026	5.917463	0.612612	0.025822	4.3
55	-0.152494	4.934017	0.635843	0.039450	3.6
56	-0.163979	4.008107	0.659385	0.026362	3.6
57	-0.175486	5.008107	0.634032	0.045133	3.8
58	-0.174174	6.008077	0.610557	0.022980	4.7
59	-0.161133	5.022031	0.633693	0.029407	4.1
60	-0.169234	5.955681	0.611744	0.018992	3.7
61	-0.153701	5.081168	0.632256	0.059894	3.6
62	-0.141791	4.101115	0.656942	0.014009	4.2
