1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.190131	0.000000	4.573032	0.008883	1398.1
1	-0.181612	0.000000	4.573032	0.011916	4.2
2	-0.180883	0.000000	4.573032	0.017052	5.0
3	-0.202756	0.999969	4.365173	0.009772	3.7
4	-0.165021	0.714567	4.422546	0.014271	3.8
5	-0.188737	0.000000	4.573032	0.020804	3.7
6	-0.159510	1.000000	4.365167	0.014689	4.2
7	-0.181050	1.999996	4.175378	0.005260	4.7
8	-0.179113	1.037810	4.357678	0.019862	4.2
9	-0.196445	2.037297	4.168617	0.014315	5.5
10	-0.173109	1.068191	4.351679	0.013695	7.1
11	-0.179370	1.940826	4.186147	0.012045	4.1
12	-0.186154	0.971753	4.370779	0.026184	3.5
13	-0.199612	0.002647	4.572456	0.018624	3.5
14	-0.194577	0.000000	4.573032	0.022483	3.5
15	-0.178018	0.000000	4.573032	0.021582	5.1
16	-0.189511	0.000000	4.573032	0.007016	4.3
17	-0.182630	0.000000	4.573032	0.007818	3.6
18	-0.190558	0.988156	4.367518	0.007939	3.5
19	-0.189361	1.553424	4.258053	0.019364	4.5
20	-0.194745	0.587680	4.448541	0.021508	5.3
21	-0.204763	0.000000	4.573032	0.016309	4.8
22	-0.176033	0.000000	4.573032	0.017164	3.7
23	-0.168399	0.927184	4.379663	0.006753	3.6
24	-0.171746	0.000000	4.573032	0.022944	5.1
25	-0.182224	0.999991	4.365169	0.013151	4.2
26	-0.197044	1.956041	4.183373	0.013147	3.9
27	-0.170186	2.956019	4.008749	0.019773	3.7
28	-0.194779	1.986913	4.177755	0.017932	8.0
29	-0.206188	2.986912	4.003586	0.010429	5.4
30	-0.167507	2.056910	4.165071	0.019811	4.3
31	-0.178293	3.056888	3.991941	0.014047	4.4
32	-0.180495	4.056817	3.832637	0.015080	4.8
33	-0.192092	3.363072	3.941772	0.029074	4.8
34	-0.187445	3.987148	3.843323	0.011311	3.9
35	-0.184750	3.018042	3.998398	0.012137	3.6
36	-0.161633	2.048967	4.166507	0.007727	4.8
37	-0.191910	1.216338	4.322660	0.017317	4.3
38	-0.179064	0.309942	4.506520	0.009141	3.6
39	-0.196765	1.309928	4.304527	0.018406	3.5
40	-0.185370	2.309925	4.119862	0.008335	4.0
41	-0.194724	3.309922	3.950390	0.008538	6.2
42	-0.208496	2.359933	4.111043	0.014069	3.9
43	-0.174970	3.359852	3.942293	0.021502	5.0
44	-0.189691	2.390811	4.105616	0.010066	5.5
45	-0.192462	1.421712	4.283066	0.020935	4.2
